id_kelurahan,nama_kelurahan,latitude,longitude,adm4,adm2,nama_kota
3501042018,Nanggungan,-8.1859661892,111.1199750478,35.01.04.2018,3501,Kabupaten Pacitan
3501042019,Widoro,-8.1785356835,111.1168839331,35.01.04.2019,3501,Kabupaten Pacitan
3501042020,Semanten,-8.1650040663,111.119469286,35.01.04.2020,3501,Kabupaten Pacitan
3501042021,Sambong,-8.1584464645,111.0946993885,35.01.04.2021,3501,Kabupaten Pacitan
3501042022,Banjarsari,-8.1610920385,111.1306605268,35.01.04.2022,3501,Kabupaten Pacitan
3501042023,Bolosingo,-8.1442635507,111.1181949345,35.01.04.2023,3501,Kabupaten Pacitan
3501042024,Ponggok,-8.1510301618,111.1072228393,35.01.04.2024,3501,Kabupaten Pacitan
3501042025,Tambakrejo,-8.1462144905,111.1327275409,35.01.04.2025,3501,Kabupaten Pacitan
3501052001,Plumbungan,-8.2423296325,111.1164474126,35.01.05.2001,3501,Kabupaten Pacitan
3501052002,Karangnongko,-8.2431556747,111.1358249746,35.01.05.2002,3501,Kabupaten Pacitan
3501052003,Kalipelus,-8.261032095,111.146448366,35.01.05.2003,3501,Kabupaten Pacitan
3501052004,Karanganyar,-8.2336760675,111.1560711177,35.01.05.2004,3501,Kabupaten Pacitan
3501052005,Katipugal,-8.2592850333,111.1597946862,35.01.05.2005,3501,Kabupaten Pacitan
3501052006,Klesem,-8.2629224215,111.1746175168,35.01.05.2006,3501,Kabupaten Pacitan
3501052007,Sidomulyo,-8.2515254968,111.1940496089,35.01.05.2007,3501,Kabupaten Pacitan
3501052008,Worawari,-8.2442593084,111.218811172,35.01.05.2008,3501,Kabupaten Pacitan
3501052009,Mantren,-8.226903127,111.1985252976,35.01.05.2009,3501,Kabupaten Pacitan
3501052010,Gawang,-8.2263839777,111.173944306,35.01.05.2010,3501,Kabupaten Pacitan
3501052011,Kebonagung,-8.2221364287,111.1572384931,35.01.05.2011,3501,Kabupaten Pacitan
3501052012,Purwoasri,-8.2160465561,111.1453619784,35.01.05.2012,3501,Kabupaten Pacitan
3501052013,Banjarjo,-8.2112032774,111.1606508256,35.01.05.2013,3501,Kabupaten Pacitan
3501052014,Gembuk,-8.2094790724,111.1962492366,35.01.05.2014,3501,Kabupaten Pacitan
3501052015,Sanggrahan,-8.1893707839,111.1928073958,35.01.05.2015,3501,Kabupaten Pacitan
3501052016,Punjung,-8.1977455152,111.1687566015,35.01.05.2016,3501,Kabupaten Pacitan
3501052017,Wonogondo,-8.1884598371,111.1555981151,35.01.05.2017,3501,Kabupaten Pacitan
3501052018,Ketepung,-8.1676809797,111.1543545831,35.01.05.2018,3501,Kabupaten Pacitan
3501052019,Ketro,-8.1690759447,111.198994536,35.01.05.2019,3501,Kabupaten Pacitan
3501062001,Mlati,-8.1141955013,111.1136906101,35.01.06.2001,3501,Kabupaten Pacitan
3501062002,Sedayu,-8.0994846139,111.118353919,35.01.06.2002,3501,Kabupaten Pacitan
3501062003,Tremas,-8.121555143,111.1380309025,35.01.06.2003,3501,Kabupaten Pacitan
3501062004,Arjosari,-8.1244290992,111.1480096548,35.01.06.2004,3501,Kabupaten Pacitan
3501062005,Gunungsari,-8.1438751473,111.1480529193,35.01.06.2005,3501,Kabupaten Pacitan
3501062006,Pagutan,-8.1449708638,111.1622338136,35.01.06.2006,3501,Kabupaten Pacitan
3501062007,Gembong,-8.1327412735,111.1702703192,35.01.06.2007,3501,Kabupaten Pacitan
3501062008,Borang,-8.1342442332,111.184160463,35.01.06.2008,3501,Kabupaten Pacitan
3501062009,Gegeran,-8.1155398803,111.1823208705,35.01.06.2009,3501,Kabupaten Pacitan
3501062010,Kedungbendo,-8.1011038834,111.2000329636,35.01.06.2010,3501,Kabupaten Pacitan
3501062011,Mangunharjo,-8.0952555328,111.2117625217,35.01.06.2011,3501,Kabupaten Pacitan
3501062012,Jetiskidul,-8.0829192314,111.19005881,35.01.06.2012,3501,Kabupaten Pacitan
3501062013,Temon,-8.079668864,111.1710890519,35.01.06.2013,3501,Kabupaten Pacitan
3501062014,Karanggede,-8.0478975233,111.144935415,35.01.06.2014,3501,Kabupaten Pacitan
3501062015,Gayuhan,-8.0974895601,111.1437626847,35.01.06.2015,3501,Kabupaten Pacitan
3501062016,Karangrejo,-8.0778574855,111.1347857032,35.01.06.2016,3501,Kabupaten Pacitan
3501062017,Jatimalang,-8.1084124489,111.1560263972,35.01.06.2017,3501,Kabupaten Pacitan
3501072001,Gondang,-8.0422240249,111.1886175802,35.01.07.2001,3501,Kabupaten Pacitan
3501072002,Mujing,-8.0270328488,111.2065097387,35.01.07.2002,3501,Kabupaten Pacitan
3501072003,Sempu,-7.9975260608,111.216975581,35.01.07.2003,3501,Kabupaten Pacitan
3501072004,Nawangan,-8.0108713109,111.1690596764,35.01.07.2004,3501,Kabupaten Pacitan
3501072005,Tokawi,-7.9947946973,111.1456410647,35.01.07.2005,3501,Kabupaten Pacitan
3501072006,Jetis Lor,-7.9808390696,111.1814608588,35.01.07.2006,3501,Kabupaten Pacitan
3501072007,Penggung,-7.9485566625,111.1574881207,35.01.07.2007,3501,Kabupaten Pacitan
3501072008,Pakis Baru,-7.9459270513,111.1872320028,35.01.07.2008,3501,Kabupaten Pacitan
3501072009,Ngromo,-7.9486399392,111.2070479717,35.01.07.2009,3501,Kabupaten Pacitan
3501082001,Petungsinarang,-8.0629834439,111.2277641392,35.01.08.2001,3501,Kabupaten Pacitan
3501082002,Ngunut,-8.0237056777,111.2362742911,35.01.08.2002,3501,Kabupaten Pacitan
3501082003,Bandar,-7.9929447302,111.2619039447,35.01.08.2003,3501,Kabupaten Pacitan
3501082004,Kledung,-8.0146338671,111.2866385245,35.01.08.2004,3501,Kabupaten Pacitan
3501082005,Tumpuk,-7.9678596439,111.2891787546,35.01.08.2005,3501,Kabupaten Pacitan
3501082006,Watupatok,-7.9578673762,111.3095201263,35.01.08.2006,3501,Kabupaten Pacitan
3501082007,Bangunsari,-7.9508199521,111.2739921974,35.01.08.2007,3501,Kabupaten Pacitan
3501082008,Jeruk,-7.9634637078,111.2402757666,35.01.08.2008,3501,Kabupaten Pacitan
3501092001,Kebondalem,-8.1030059499,111.2287786904,35.01.09.2001,3501,Kabupaten Pacitan
3501092002,Gedangan,-8.0968859989,111.2412923135,35.01.09.2002,3501,Kabupaten Pacitan
3501092003,Ngreco,-8.0858907078,111.2614383978,35.01.09.2003,3501,Kabupaten Pacitan
3501092004,Kasihan,-8.1015491074,111.2909764454,35.01.09.2004,3501,Kabupaten Pacitan
3501092005,Pucangombo,-8.0839491565,111.3251803528,35.01.09.2005,3501,Kabupaten Pacitan
3501092006,Gemaharjo,-8.0431978606,111.3439586702,35.01.09.2006,3501,Kabupaten Pacitan
